Gene,Slope,P-value,FDR
DDX11L1,-0.0816393141453597,0.2828943406991835,
WASH7P,-0.0071190776813148,0.90035030025747,
MIR6859-1,-0.0186880463170826,0.1770654515324112,
MIR1302-2HG,-0.0424868312769588,0.2372036442020758,
FAM138A,-0.0319757466793268,0.3693573514304271,
OR4G4P,-0.0778780795183869,0.0757616776847091,
OR4G11P,-0.0936703299848649,0.0764725623904042,
OR4F5,-0.1290976283801865,0.0295866748311097,
RP11-34P13.7,0.3536937324439507,0.0094806681737332,
CICP27,0.3929122934862266,0.0014632079779734,
RP11-34P13.15,0.1494982602566794,0.0692632052278215,
RP11-34P13.16,0.1355628175689471,0.0846444114718414,
RP11-34P13.14,0.2546764852775896,0.0177823040610334,
RP11-34P13.13,-0.0697547301769473,0.4107378752822649,
RNU6-1100P,0.0095862387726387,0.6096040470126154,
RP11-34P13.9,0.0520068251418605,0.0815184797836046,
ABC7-43046700E7.1,-0.074591247868609,0.5214027563276015,
RP11-34P13.18,-0.0824518976514881,0.0957648531513191,
MIR6859-2,-0.0021006181434651,0.8380368625616692,
AP006222.2,0.2035254914445135,0.0741080057866605,
RPL23AP24,0.063867840538714,0.3508780677515746,
RP5-857K21.15,0.001810966605092,0.9145204744439728,
RP4-669L17.2,-0.0716009459031127,0.0366209326009336,
RP4-669L17.10,0.018269834618094,0.801866295691021,
WBP1LP7,0.0410923123424331,0.3272004731581489,
OR4F29,0.020626909061553,0.7117575536447511,
CICP7,0.0582322806723797,0.371338646329184,
RP4-669L17.8,0.0641102417798428,0.6125983070655251,
U6,0.0836919893321242,0.0117621772130909,
RP5-857K21.4,-0.0342442901902343,0.6445048119487176,
RP5-857K21.2,-0.0131751147156402,0.2716597470359815,
MTND1P23,0.0305990284013869,0.862140123721503,
MTND2P28,-0.103456289006043,0.2304018133667449,
MTCO1P12,-0.1753470520075131,0.0936030565138288,
MTCO2P12,-0.1940681263325875,0.0354721859792388,
MTATP8P1,-0.1049715467954597,0.3029769554675305,
MTATP6P1,-0.1787238830928394,0.0153712677497213,
MTCO3P12,-0.1819565592898308,0.0761170770910972,
WBP1LP6,-0.062781826412891,0.0486334395183274,
OR4F16,-0.0232745311360903,0.6225336015023162,
RP11-206L10.17,0.0,,
CICP3,0.1211150189348438,0.1330325284604764,
RP11-206L10.2,0.0049467778572209,0.9381307249346388,
RNU6-1199P,0.0297503070588221,0.0755762128966439,
RP11-206L10.4,0.0401109017320852,0.3570300990512481,
RP11-206L10.9,0.1842606375198942,0.0116026799190652,
RP11-206L10.8,0.0854239383518812,0.3005110285653497,
FAM87B,0.0373324140878445,0.6533684846696229,
LINC01128,-0.0731873923814591,0.2509819585953312,
LINC00115,-0.0949226814095484,0.1957630781140773,
FAM41C,0.0249618586500849,0.751622714533836,
TUBB8P11,-0.0475926072838792,0.5500572544223843,
FAM166AP3,0.0008562949576786,0.982532388524704,
RP11-54O7.16,-0.0296939900403409,0.5673150827636806,
RP11-54O7.1,0.0544216978541268,0.5086037665401582,
RP11-54O7.2,-0.0085434066085259,0.1712027830999991,
RP11-54O7.3,0.0063091799261836,0.9349737304134312,
SAMD11,-0.079090739068945,0.3779369737219228,
NOC2L,-0.1498417329911651,0.0005408106038234,
KLHL17,-0.1528888834070531,0.0106901607298164,
PLEKHN1,-0.2181435494208308,0.0006455984463196,
PERM1,-0.1341763956457335,0.2020489848373909,
RP11-54O7.17,-0.2046082417099231,0.1446326569946538,
HES4,-0.445706465158733,0.0064126693520047,
ISG15,-0.1187369322857568,0.2707622659726621,
RP11-54O7.10,0.0196021007413018,0.3767164681989181,
RP11-54O7.11,0.0184676359554272,0.6884180395472316,
AGRN,0.0268920262800642,0.727480789286723,
RP11-465B22.3,-0.0903753610515382,0.265264265223188,
RP11-54O7.18,-0.0599398317898008,0.4271845112601697,
RNF223,-0.0484438760047717,0.5523781873747924,
C1orf159,-0.2094055797438449,0.0005673604344645,
LINC01342,0.2753266017344791,0.0293617284820702,
MIR200B,0.0428088588901041,0.0145040177948925,
MIR200A,0.010591392452807,0.5442539844188741,
MIR429,-0.0027982455647942,0.8795021995775343,
RP11-465B22.8,0.0500336113969777,0.5407817502051945,
TTLL10-AS1,-0.0243742561613733,0.7622857146862654,
TTLL10,-0.2068974520900649,0.0215761171496204,
TNFRSF18,-0.278812719134125,0.0334546865785584,
TNFRSF4,-0.3117313761896101,0.0138923420035808,
SDF4,-0.0803673904024252,0.0009910066946444,
B3GALT6,0.0124092100761483,0.8571434769292177,
C1QTNF12,-0.0642189484560262,0.3675663014673741,
RP5-902P8.12,0.0053467204587002,0.945308383966697,
UBE2J2,0.0378615967017704,0.4453028756586669,
LINC01786,-0.2017791135695315,0.0206896273592696,
SCNN1D,-0.1983799596585423,0.0141829197303458,
ACAP3,-0.1613385603098612,0.0001897453537479,
MIR6726,-0.0220601951714536,0.2470785524568419,
PUSL1,-0.102413890059112,0.0132737352096218,
INTS11,-0.1354405454789257,5.2630514090353006e-05,
MIR6727,0.0040476790773166,0.8102200179490084,
RP5-890O3.9,-0.1694918066140246,0.0028953876735207,
CPTP,-0.0006284146365571,0.9920052487162282,
TAS1R3,0.1031032303589687,0.0733628061147461,
DVL1,-0.1452085730874278,0.0002581788550198,
MIR6808,0.0049302293218425,0.6919115904524493,
MXRA8,-0.187954869690258,0.0109274980196886,
AURKAIP1,0.0302905138649736,0.5686446567916285,
NDUFB4P8,-0.0433786960171345,0.5345335848646018,
CCNL2,-0.0252028557462459,0.3582933344791891,
RP4-758J18.2,0.0414995281132724,0.3867605499217761,
MRPL20,-0.0489714928519427,0.0929468173807172,
RP4-758J18.13,0.1573158300736966,0.113019296053348,
ANKRD65,-0.0779787949464323,0.4206163715488932,
RP4-758J18.7,0.0065925175716959,0.8447973037118712,
TMEM88B,-0.0063555859665459,0.9172172615182173,
LINC01770,-0.0169324968308321,0.8049276952612188,
VWA1,-0.0566756793312053,0.5422815058206335,
ATAD3C,-0.1757391723006116,0.042239302764173,
ATAD3B,-0.2121425172295837,0.0017130518499403,
ATAD3A,-0.122902759778841,0.0237791288092299,
TMEM240,0.0959171456644879,0.3761236797820135,
SSU72,0.0292240505967779,0.4682009938282406,
RP5-832C2.5,0.1718723085385808,0.0647019863250587,
RP11-345P4.11,-0.0352164962388009,0.4071186707557563,
FNDC10,-0.0902767801870517,0.1120685001298825,
RP11-345P4.9,-0.1303374115021949,0.0009889332577378,
MIB2,-0.1814400671893423,0.0011580803468404,
MMP23B,-0.5448734500694896,0.0001832835475666,
CDK11B,-0.0612500879142973,0.0716161870317137,
RP11-345P4.10,-0.0035772997024804,0.9053133303704064,
SLC35E2B,0.1384706961713584,0.0008411864607647,
RP11-345P4.6,0.0786891198674442,0.3452531936467888,
MMP23A,0.2021913061940269,0.2547359537277419,
CDK11A,-0.0038562812253102,0.9340678082921172,
RP1-283E3.4,0.0356814968727764,0.6504360556241412,
SLC35E2,0.0980493069389133,0.0434264178756119,
NADK,0.1690333170751574,0.0087345519173176,
GNB1,-0.0371557385355773,0.1751780337520178,
RP1-140A9.1,-0.1571759820842276,0.0885124605423416,
CALML6,-0.0956564360491859,0.4073703129097789,
TMEM52,-0.1048758023120685,0.4129620930862255,
CFAP74,0.0491079648775034,0.5970056116627187,
RP11-547D24.1,0.0136751305219719,0.8291397499652245,
GABRD,-0.0291179230803551,0.8040928770953716,
RP11-547D24.3,0.0019724357022334,0.9296323778344184,
PRKCZ,0.0944768194047313,0.1398263092844133,
RP5-892K4.1,0.2771475806470143,0.0114402520963545,
PRKCZ-AS1,0.1158141233070189,0.1203735519113264,
FAAP20,-0.0422850485110841,0.333512170175114,
RP11-181G12.4,-0.0532950495923398,0.0961091096430709,
SKI,0.0136902520794267,0.8071299855035063,
MORN1,-0.0104403098874535,0.8435856382315966,
RP4-713A8.1,0.028285765868115,0.7076192560732792,
RP4-740C4.5,0.0614599526694623,0.4662050067168991,
RP4-740C4.7,0.0680368722777179,0.4536584990208262,
RER1,0.1091353326647366,0.0441107597677686,
PEX10,-0.1406440398974734,0.000268556457786,
PLCH2,-0.3862207638728652,0.0023336488713802,
RP3-395M20.2,-0.356639763029835,6.957044439554678e-05,
RP3-395M20.3,-0.1494174264288206,0.0949867194344145,
PANK4,-0.1290020910272085,0.0002193109305891,
HES5,0.0192765607208589,0.8071147905742668,
RP3-395M20.12,-0.2431265751804898,2.0562361852993974e-05,
RP3-395M20.8,-0.1550894627351811,0.0168148640779243,
TNFRSF14,-0.1564361382075742,1.4880832813268683e-05,
RP3-395M20.7,-0.0897485791233826,0.2863302817302659,
RP3-395M20.9,-0.2107972543188506,0.0063380209849453,
FAM213B,-0.3099719437126257,1.9735778596057974e-11,
MMEL1,-0.691634486582217,8.411820495468595e-15,
RP13-436F16.1,0.0072669752723348,0.3292861236488308,
TTC34,-0.0555704641505961,0.4667143299758026,
ABC14-1188822O7.1,-0.0243043952180384,0.1829509683846868,
RP11-740P5.2,0.0184701173918227,0.1717828746727457,
RP11-740P5.3,0.0038898957584251,0.7161289552085234,
ACTRT2,-0.1401525237941795,0.017704313574377,
LINC00982,-0.1261267615173289,0.2064349031741307,
PRDM16,-0.1553165343399926,0.1804540969240738,
MIR4251,0.0,,
RP1-163G9.2,-0.0107753848632054,0.5070904535028076,
RP11-193J6.1,0.0004117174452287,0.9877355111550818,
RP11-22L13.1,-0.007780804599161,0.8056787653397296,
ARHGEF16,0.0174846655345199,0.8585143246699198,
RP11-168F9.2,-0.0545487795065849,0.2728526930805889,
